"id","nama","created_at","updated_at"
69,TECHNICAL SUPPORT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
70,ADMIN KEUANGAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
71,ADMIN LOGISTIK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
72,ADMIN PRODUKSI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
73,ASISTEN DIREKTUR,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
74,BAGIAN UMUM PT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
75,BAGIAN UMUM,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
76,CH OFFICER,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
77,STAFF CUSTOMER RELATIONSHIP,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
78,STAFF REGION,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
79,KEPALA CORPORATE COMMUNICATION,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
80,STAFF MONITORING & REPORTING,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
81,STAFF STAKEHOLDER RELATIONSHIP MANAGEMENT,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
82,STAFF INFORMATION DATA CENTER,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
83,PURCHASING STAFF,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
84,STAFF MOBILE DEVELOPER,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
85,STAFF PERANGKAT DIGITAL,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
86,ASISTEN DIREKTUR KEUANGAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
87,ASISTEN DIREKTUR HC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
88,ASISTEN DIREKTUR LOGISTIK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
89,ASISTEN DIREKTUR PRODUKSI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
90,ASISTEN DIREKTUR PENJUALAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
91,STAFF REGION HC,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
92,STAFF REGION KEUANGAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
93,STAFF REGION LOGISTIK,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
94,STAFF REGION PENJUALAN,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
95,STAFF REGION PRODUKSI,2024-10-08 10:46:20.000,2024-10-08 10:46:20.000
